Data,Equipamento,Número(s) CE,Inoperância (Minutos)
24/02/2024,337,CE: 08,1440
25/02/2024,337,CE: 08,900
24/02/2024,338,CE: 08,1440
25/02/2024,338,CE: 08,900
25/02/2024,806,CE: 08,1440
26/02/2024,806,CE: 08,900
25/02/2024,807,CE: 08,1440
26/02/2024,807,CE: 08,900
04/02/2024,808,CE: 002,240
24/02/2024,817,CE: 08,1440
25/02/2024,817,CE: 08,900
24/02/2024,818,CE: 08,1440
25/02/2024,818,CE: 08,900
25/02/2024,5102,CE: 08,1440
26/02/2024,5102,CE: 08,900
25/02/2024,5103,CE: 08,1440
26/02/2024,5103,CE: 08,900
25/02/2024,5104,CE: 08,1440
26/02/2024,5104,CE: 08,900
25/02/2024,5105,CE: 08,1440
26/02/2024,5105,CE: 08,900
04/02/2024,5108,CE: 002,240
25/02/2024,5109,CE: 08,1440
26/02/2024,5109,CE: 08,900
25/02/2024,5110,CE: 08,1440
26/02/2024,5110,CE: 08,900
25/02/2024,5111,CE: 08,1440
26/02/2024,5111,CE: 08,900
25/02/2024,5112,CE: 08,1440
26/02/2024,5112,CE: 08,900
02/03/2024,806,CE: 11,1440
03/03/2024,806,CE: 11,750
16/03/2024,806,CE: 12,750
17/03/2024,806,CE: 12,750
02/03/2024,807,CE: 11,1440
03/03/2024,807,CE: 11,750
16/03/2024,807,CE: 12,750
17/03/2024,807,CE: 12,750
02/03/2024,5100,CE: 11,1440
03/03/2024,5100,CE: 11,750
16/03/2024,5100,CE: 12,750
17/03/2024,5100,CE: 12,750
02/03/2024,5101,CE: 11,1440
03/03/2024,5101,CE: 11,750
16/03/2024,5101,CE: 12,750
17/03/2024,5101,CE: 12,750
02/03/2024,5102,CE: 11,1440
03/03/2024,5102,CE: 11,750
16/03/2024,5102,CE: 12,750
17/03/2024,5102,CE: 12,750
02/03/2024,5103,CE: 11,1440
03/03/2024,5103,CE: 11,750
16/03/2024,5103,CE: 12,750
17/03/2024,5103,CE: 12,750
02/03/2024,5104,CE: 11,1440
03/03/2024,5104,CE: 11,750
16/03/2024,5104,CE: 12,750
17/03/2024,5104,CE: 12,750
02/03/2024,5105,CE: 11,1440
03/03/2024,5105,CE: 11,750
16/03/2024,5105,CE: 12,750
17/03/2024,5105,CE: 12,750
02/03/2024,5109,CE: 11,1440
03/03/2024,5109,CE: 11,750
16/03/2024,5109,CE: 12,750
17/03/2024,5109,CE: 12,750
02/03/2024,5110,CE: 11,1440
03/03/2024,5110,CE: 11,750
16/03/2024,5110,CE: 12,750
17/03/2024,5110,CE: 12,750
02/03/2024,5111,CE: 11,1440
03/03/2024,5111,CE: 11,750
16/03/2024,5111,CE: 12,750
17/03/2024,5111,CE: 12,750
02/03/2024,5112,CE: 11,1440
03/03/2024,5112,CE: 11,750
16/03/2024,5112,CE: 12,750
17/03/2024,5112,CE: 12,750
21/04/2024,806,CE: 16,330
23/04/2024,806,CE: 20,900
21/04/2024,807,CE: 16,330
23/04/2024,807,CE: 20,900
21/04/2024,5100,CE: 16,330
21/04/2024,5101,CE: 16,330
21/04/2024,5102,CE: 16,330
23/04/2024,5102,CE: 20,900
21/04/2024,5103,CE: 16,330
23/04/2024,5103,CE: 20,900
21/04/2024,5104,CE: 16,330
23/04/2024,5104,CE: 20,900
21/04/2024,5105,CE: 16,330
23/04/2024,5105,CE: 20,900
21/04/2024,5109,CE: 16,330
23/04/2024,5109,CE: 20,900
21/04/2024,5110,CE: 16,330
23/04/2024,5110,CE: 20,900
21/04/2024,5111,CE: 16,330
23/04/2024,5111,CE: 20,900
21/04/2024,5112,CE: 16,330
23/04/2024,5112,CE: 20,900
19/05/2024,806,CE: 23,840
19/05/2024,807,CE: 23,840
19/05/2024,808,CE: 23,390
19/05/2024,815,CE: 23,840
19/05/2024,816,CE: 23,840
19/05/2024,5102,CE: 23,840
19/05/2024,5103,CE: 23,840
19/05/2024,5104,CE: 23,840
19/05/2024,5105,CE: 23,840
19/05/2024,5108,CE: 23,390
19/05/2024,5109,CE: 23,840
26/05/2024,5109,CE: 27,480
19/05/2024,5110,CE: 23,840
19/05/2024,5111,CE: 23,840
19/05/2024,5112,CE: 23,840
26/05/2024,5112,CE: 23,390
09/06/2024,806,CE: 29,270
16/06/2024,806,CE: 30,480
30/06/2024,806,CE: 31,540
09/06/2024,807,CE: 29,270
16/06/2024,807,CE: 30,480
30/06/2024,807,CE: 31,540
30/06/2024,5100,CE: 31,540
30/06/2024,5101,CE: 31,540
09/06/2024,5102,CE: 29,270
16/06/2024,5102,CE: 30,480
30/06/2024,5102,CE: 31,540
09/06/2024,5103,CE: 29,270
16/06/2024,5103,CE: 30,480
30/06/2024,5103,CE: 31,540
09/06/2024,5104,CE: 29,270
16/06/2024,5104,CE: 30,480
30/06/2024,5104,CE: 31,540
09/06/2024,5105,CE: 29,270
16/06/2024,5105,CE: 30,480
30/06/2024,5105,CE: 31,540
09/06/2024,5109,CE: 29,270
16/06/2024,5109,CE: 30,480
30/06/2024,5109,CE: 31,540
09/06/2024,5110,CE: 29,270
16/06/2024,5110,CE: 30,480
30/06/2024,5110,CE: 31,540
09/06/2024,5111,CE: 29,270
