Data,Equipamento,Número(s) CE,Inoperância (Minutos)
09/01/2024,806,CE: 12,750
09/01/2024,807,CE: 12,750
02/01/2024,808,CE: 11,60
09/01/2024,5100,CE: 12,750
26/01/2024,5100,CE: 10,210
09/01/2024,5101,CE: 12,750
26/01/2024,5101,CE: 10,210
09/01/2024,5102,CE: 12,750
09/01/2024,5103,CE: 12,750
09/01/2024,5104,CE: 12,750
26/01/2024,5104,CE: 10,210
09/01/2024,5105,CE: 12,750
26/01/2024,5105,CE: 10,210
26/01/2024,5106,CE: 10,210
26/01/2024,5107,CE: 10,210
02/01/2024,5108,CE: 11,60
09/01/2024,5109,CE: 12,750
02/01/2024,5110,CE: 11,60
09/01/2024,5110,CE: 12,750
09/01/2024,5111,CE: 12,750
09/01/2024,5112,CE: 12,750
26/01/2024,5113,CE: 10,210
26/01/2024,5114,CE: 10,210
21/02/2024,800,CE: 16,360
22/02/2024,800,CE: 16,420
23/02/2024,800,CE: 16,420
02/02/2024,808,CE: 11,0
16/03/2024,337,CE: 21,600
16/03/2024,338,CE: 21,600
04/03/2024,806,CE: 22,540
09/03/2024,806,CE: 12,750
16/03/2024,806,CE: 21,600
30/03/2024,806,CE: 30,240
09/03/2024,807,CE: 12,750
16/03/2024,807,CE: 21,600
30/03/2024,807,CE: 30,240
16/03/2024,817,CE: 21,600
16/03/2024,818,CE: 21,600
09/03/2024,5100,CE: 12,750
30/03/2024,5100,CE: 30,240
09/03/2024,5101,CE: 12,750
30/03/2024,5101,CE: 30,240
09/03/2024,5102,CE: 12,750
16/03/2024,5102,CE: 21,600
30/03/2024,5102,CE: 30,240
09/03/2024,5103,CE: 12,750
16/03/2024,5103,CE: 21,600
30/03/2024,5103,CE: 30,240
09/03/2024,5104,CE: 12,750
16/03/2024,5104,CE: 21,600
30/03/2024,5104,CE: 30,240
09/03/2024,5105,CE: 12,750
16/03/2024,5105,CE: 21,600
30/03/2024,5105,CE: 30,240
09/03/2024,5109,CE: 12,750
14/03/2024,5109,CE: 26,240
16/03/2024,5109,CE: 21,600
29/03/2024,5109,CE: 32,120
30/03/2024,5109,CE: 30,240
09/03/2024,5110,CE: 12,750
14/03/2024,5110,CE: 26,240
16/03/2024,5110,CE: 21,600
29/03/2024,5110,CE: 32,120
30/03/2024,5110,CE: 30,240
09/03/2024,5111,CE: 12,750
16/03/2024,5111,CE: 21,600
30/03/2024,5111,CE: 30,240
09/03/2024,5112,CE: 12,750
16/03/2024,5112,CE: 21,600
30/03/2024,5112,CE: 30,240
06/04/2024,806,CE: 36,180
27/04/2024,806,CE: 35,480
06/04/2024,807,CE: 36,180
27/04/2024,807,CE: 35,480
06/04/2024,5102,CE: 36,240
27/04/2024,5102,CE: 35,480
06/04/2024,5103,CE: 36,240
27/04/2024,5103,CE: 35,480
06/04/2024,5104,CE: 36,240
27/04/2024,5104,CE: 35,480
06/04/2024,5105,CE: 36,240
27/04/2024,5105,CE: 35,480
06/04/2024,5109,CE: 36,240
27/04/2024,5109,CE: 35,480
06/04/2024,5110,CE: 36,240
27/04/2024,5110,CE: 35,480
27/04/2024,5111,CE: 35,480
27/04/2024,5112,CE: 35,480
18/05/2024,806,CE: 42,840
11/05/2024,807,CE: 38,180
18/05/2024,807,CE: 42,840
18/05/2024,5102,CE: 42,840
18/05/2024,5103,CE: 42,840
18/05/2024,5104,CE: 42,840
18/05/2024,5105,CE: 42,840
11/05/2024,5108,CE: 38,180
18/05/2024,5109,CE: 42,840
18/05/2024,5110,CE: 42,840
18/05/2024,5111,CE: 42,840
18/05/2024,5112,CE: 42,840
01/06/2024,806,CE: 46,840
15/06/2024,806,CE: 51,540
29/06/2024,806,CE: 52,240
01/06/2024,807,CE: 46,840
15/06/2024,807,CE: 51,540
29/06/2024,807,CE: 52,240
01/06/2024,5100,CE: 46,840
01/06/2024,5101,CE: 46,840
01/06/2024,5102,CE: 46,840
15/06/2024,5102,CE: 51,540
29/06/2024,5102,CE: 52,240
01/06/2024,5103,CE: 46,840
15/06/2024,5103,CE: 51,540
29/06/2024,5103,CE: 52,240
01/06/2024,5104,CE: 46,840
15/06/2024,5104,CE: 51,540
29/06/2024,5104,CE: 52,240
01/06/2024,5105,CE: 46,840
15/06/2024,5105,CE: 51,540
29/06/2024,5105,CE: 52,240
15/06/2024,5109,CE: 51,540
25/06/2024,5109,CE: 49,840
29/06/2024,5109,CE: 52,240
15/06/2024,5110,CE: 51,540
25/06/2024,5110,CE: 49,840
29/06/2024,5110,CE: 52,240
01/06/2024,5111,CE: 46,840
15/06/2024,5111,CE: 51,540
25/06/2024,5111,CE: 49,840
29/06/2024,5111,CE: 52,240
01/06/2024,5112,CE: 46,840
15/06/2024,5112,CE: 51,540
25/06/2024,5112,CE: 49,840
29/06/2024,5112,CE: 52,240
29/06/2024,5113,CE: 52,240
29/06/2024,5114,CE: 52,240
06/07/2024,806,CE: 62,360
13/07/2024,806,CE: 64,420
20/07/2024,806,CE: 76,600
27/07/2024,806,CE: 76,600
06/07/2024,807,CE: 62,360
13/07/2024,807,CE: 64,420
20/07/2024,807,CE: 76,600
27/07/2024,807,CE: 76,600
06/07/2024,5102,CE: 62,360
13/07/2024,5102,CE: 64,420
20/07/2024,5102,CE: 76,600
27/07/2024,5102,CE: 76,600
06/07/2024,5103,CE: 62,360
13/07/2024,5103,CE: 64,420
20/07/2024,5103,CE: 76,600
27/07/2024,5103,CE: 76,600
06/07/2024,5104,CE: 62,360
13/07/2024,5104,CE: 64,420
20/07/2024,5104,CE: 76,600
27/07/2024,5104,CE: 76,600
06/07/2024,5105,CE: 62,360
13/07/2024,5105,CE: 64,420
20/07/2024,5105,CE: 76,600
27/07/2024,5105,CE: 76,600
20/07/2024,5106,CE: 78,240
01/07/2024,5109,CE: 70,120
02/07/2024,5109,CE: 70,120
03/07/2024,5109,CE: 70,120
06/07/2024,5109,CE: 62,360
08/07/2024,5109,CE: 70,120
09/07/2024,5109,CE: 70,120
10/07/2024,5109,CE: 70,120
13/07/2024,5109,CE: 64,420
15/07/2024,5109,CE: 70,120
16/07/2024,5109,CE: 70,120
17/07/2024,5109,CE: 70,120
20/07/2024,5109,CE: 76,600
22/07/2024,5109,CE: 70,120
23/07/2024,5109,CE: 70,120
24/07/2024,5109,CE: 70,120
27/07/2024,5109,CE: 76,600
29/07/2024,5109,CE: 70,120
30/07/2024,5109,CE: 70,120
31/07/2024,5109,CE: 70,120
01/07/2024,5110,CE: 70,120
02/07/2024,5110,CE: 70,120
03/07/2024,5110,CE: 70,120
06/07/2024,5110,CE: 62,360
08/07/2024,5110,CE: 70,120
09/07/2024,5110,CE: 70,120
10/07/2024,5110,CE: 70,120
13/07/2024,5110,CE: 64,420
15/07/2024,5110,CE: 70,120
16/07/2024,5110,CE: 70,120
17/07/2024,5110,CE: 70,120
20/07/2024,5110,CE: 76,600
22/07/2024,5110,CE: 70,120
23/07/2024,5110,CE: 70,120
24/07/2024,5110,CE: 70,120
27/07/2024,5110,CE: 76,600
29/07/2024,5110,CE: 70,120
30/07/2024,5110,CE: 70,120
31/07/2024,5110,CE: 70,120
01/07/2024,5111,CE: 70,120
02/07/2024,5111,CE: 70,120
03/07/2024,5111,CE: 70,120
06/07/2024,5111,CE: 62,360
08/07/2024,5111,CE: 70,120
09/07/2024,5111,CE: 70,120
10/07/2024,5111,CE: 70,120
13/07/2024,5111,CE: 64,420
15/07/2024,5111,CE: 70,120
