Data,Equipamento,Número(s) CE,Inoperância (Minutos)
24/11/2024,5109,CE: 031,120
25/11/2024,5109,CE: 031,120
26/11/2024,5109,CE: 031,120
03/11/2024,5112,CE: 031,120
04/11/2024,5112,CE: 031,120
05/11/2024,5112,CE: 031,120
10/11/2024,5112,CE: 031,120
11/11/2024,5112,CE: 031,120
12/11/2024,5112,CE: 031,120
17/11/2024,5112,CE: 031,120
18/11/2024,5112,CE: 031,120
19/11/2024,5112,CE: 031,120
24/11/2024,5112,CE: 031,120
25/11/2024,5112,CE: 031,120
26/11/2024,5112,CE: 031,120
01/12/2024,5109,CE: 031,120
02/12/2024,5109,CE: 031,120
03/12/2024,5109,CE: 031,120
08/12/2024,5109,CE: 031,120
09/12/2024,5109,CE: 031,120
10/12/2024,5109,CE: 031,120
01/12/2024,5112,CE: 031,120
02/12/2024,5112,CE: 031,120
03/12/2024,5112,CE: 031,120
08/12/2024,5112,CE: 031,120
09/12/2024,5112,CE: 031,120
10/12/2024,5112,CE: 031,120
